"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tests that the user created by mongos can connect with auth.","417","test_user_can_connect","tests.integration.client_relations","Thu Dec 26 01:44:45 UTC 2024","passed","Thu Dec 26 01:44:45 UTC 2024","","test_internal_client_relations","",""
"Tests that when a client is integrated with mongos a user it receives connection info.","30282","test_integrate_with_internal_client","tests.integration.client_relations","Thu Dec 26 01:44:15 UTC 2024","passed","Thu Dec 26 01:44:45 UTC 2024","","test_internal_client_relations","",""
"","381","test_user_with_extra_roles","tests.integration","Thu Dec 26 01:43:22 UTC 2024","passed","Thu Dec 26 01:43:23 UTC 2024","","test_charm","",""
"Tests that mongos is accessible externally.","24387","test_mongos_external_connections","tests.integration.client_relations","Thu Dec 26 01:45:07 UTC 2024","passed","Thu Dec 26 01:45:31 UTC 2024","","test_external_client_relations","",""
"Build and deploy a sharded cluster.","99728","test_build_and_deploy","tests.integration","Thu Dec 26 01:37:48 UTC 2024","passed","Thu Dec 26 01:39:27 UTC 2024","","test_charm","",""
"Build and deploy a sharded cluster.","356357","test_build_and_deploy","tests.integration.upgrade_tests","Thu Dec 26 01:38:02 UTC 2024","passed","Thu Dec 26 01:43:59 UTC 2024","","test_upgrades","",""
"Tests that mongos charm can enable TLS.","591831","test_mongos_tls_enabled","tests.integration.tls","Thu Dec 26 01:44:09 UTC 2024","passed","Thu Dec 26 01:54:01 UTC 2024","","test_tls","",""
"","234048","test_mongos_starts_with_config_server","tests.integration","Thu Dec 26 01:39:28 UTC 2024","passed","Thu Dec 26 01:43:22 UTC 2024","","test_charm","",""
"Tests that mongos charm can disable TLS.","108084","test_mongos_tls_disabled","tests.integration.tls","Thu Dec 26 02:00:14 UTC 2024","passed","Thu Dec 26 02:02:02 UTC 2024","","test_tls","",""
"","203441","test_rollback","tests.integration.upgrade_tests","Thu Dec 26 01:43:49 UTC 2024","passed","Thu Dec 26 01:47:12 UTC 2024","","test_rollback","",""
"Build and deploy a sharded cluster.","349583","test_build_and_deploy","tests.integration.upgrade_tests","Thu Dec 26 01:37:59 UTC 2024","passed","Thu Dec 26 01:43:49 UTC 2024","","test_rollback","",""
"","189273","test_mongos_rotate_certs","tests.integration.tls","Thu Dec 26 01:57:05 UTC 2024","passed","Thu Dec 26 02:00:14 UTC 2024","","test_tls","",""
"Tests that mongos powers down when no config server is accessible.","65162","test_mongos_can_scale","tests.integration","Thu Dec 26 01:43:23 UTC 2024","passed","Thu Dec 26 01:44:28 UTC 2024","","test_charm","",""
"Test that mongos can enable TLS after being integrated to cluster .","63419","test_tls_reenabled","tests.integration.tls","Thu Dec 26 02:02:02 UTC 2024","passed","Thu Dec 26 02:03:05 UTC 2024","","test_tls","",""
"Tests that mongos can disable external connections.","56230","test_mongos_disable_external_connections","tests.integration.client_relations","Thu Dec 26 01:45:52 UTC 2024","passed","Thu Dec 26 01:46:49 UTC 2024","","test_external_client_relations","",""
"Tests that new mongos units are accessible externally.","0","test_mongos_external_connections_scale","tests.integration.client_relations","Thu Dec 26 01:45:31 UTC 2024","skipped","Thu Dec 26 01:45:31 UTC 2024","","test_external_client_relations","",""
"Build and deploy a sharded cluster.","432339","test_build_and_deploy","tests.integration.client_relations","Thu Dec 26 01:37:54 UTC 2024","passed","Thu Dec 26 01:45:07 UTC 2024","","test_external_client_relations","",""
"Tests that the user created by mongos router has the permissions it asks for.","408","test_user_with_extra_roles","tests.integration.client_relations","Thu Dec 26 01:44:45 UTC 2024","passed","Thu Dec 26 01:44:46 UTC 2024","","test_internal_client_relations","",""
"Build and deploy a sharded cluster.","366331","test_build_and_deploy","tests.integration.client_relations","Thu Dec 26 01:38:08 UTC 2024","passed","Thu Dec 26 01:44:15 UTC 2024","","test_internal_client_relations","",""
"","257240","test_successful_local_upgrade","tests.integration.upgrade_tests","Thu Dec 26 01:43:59 UTC 2024","passed","Thu Dec 26 01:48:16 UTC 2024","","test_upgrades","",""
"Build and deploy a sharded cluster.","371023","test_build_and_deploy","tests.integration.tls","Thu Dec 26 01:37:58 UTC 2024","passed","Thu Dec 26 01:44:09 UTC 2024","","test_tls","",""
"Verify removed applications no longer have access to the database.","34161","test_removed_relation_no_longer_has_access","tests.integration.client_relations","Thu Dec 26 01:44:46 UTC 2024","passed","Thu Dec 26 01:45:20 UTC 2024","","test_internal_client_relations","",""
"Tests that mongos charm can disable TLS.","366991","test_mongos_tls_ca_mismatch","tests.integration.tls","Thu Dec 26 02:03:05 UTC 2024","passed","Thu Dec 26 02:09:12 UTC 2024","","test_tls","",""
"","397","test_mongos_has_user","tests.integration","Thu Dec 26 01:43:22 UTC 2024","passed","Thu Dec 26 01:43:22 UTC 2024","","test_charm","",""
"Test that all clients use nodeport.","712","test_all_clients_use_nodeport","tests.integration.client_relations","Thu Dec 26 01:45:52 UTC 2024","passed","Thu Dec 26 01:45:52 UTC 2024","","test_external_client_relations","",""
"Tests that mongos is accessible externally.","20661","test_mongos_bad_configuration","tests.integration.client_relations","Thu Dec 26 01:45:31 UTC 2024","passed","Thu Dec 26 01:45:52 UTC 2024","","test_external_client_relations","",""
"Verifies that the application and unit are active.","475","test_waits_for_config_server","tests.integration","Thu Dec 26 01:39:27 UTC 2024","passed","Thu Dec 26 01:39:28 UTC 2024","","test_charm","",""
"Tests that TLS is stable","183532","test_mongos_tls_nodeport","tests.integration.tls","Thu Dec 26 01:54:01 UTC 2024","passed","Thu Dec 26 01:57:05 UTC 2024","","test_tls","",""
